id_plot;id_tree;species_code;species_name;number_of_increment_years;date_final;c130_initial;c130_final;htot_final;age130;weight
3973;1;9;Fagus sylvatica;5;2004;124.7689551;128;27;NA;14.14
3973;2;62;Picea abies;5;2004;174.3382263;179;35.5;NA;14.14
3973;3;62;Picea abies;5;2004;118.3424202;127;31;NA;14.14
3973;4;62;Picea abies;5;2004;119.6722586;125;33;NA;14.14
3973;5;62;Picea abies;5;2004;116.3382263;121;33;NA;14.14
3973;6;62;Picea abies;5;2004;111.6680647;113;25.5;NA;39.28
3973;7;9;Fagus sylvatica;5;2004;64.9530743;74;27.5;NA;39.29
3973;8;9;Fagus sylvatica;5;2004;92.59928327;101;33.5;NA;39.28
3973;9;62;Picea abies;5;2004;106.6764526;116;32;NA;39.28
3973;10;62;Picea abies;5;2004;91.00419395;95;31;NA;39.29
3973;11;9;Fagus sylvatica;5;2004;75.76895511;79;27.5;NA;39.29
3973;12;9;Fagus sylvatica;5;2004;27.70758204;29;10.6;NA;88.41
3973;13;9;Fagus sylvatica;5;2004;21.53791021;28;6;NA;88.41
3973;14;62;Picea abies;5;2004;33.66806465;35;6.5;NA;88.41
4740;1;62;Picea abies;5;2004;294.0062909;300;31;NA;14.13
4740;2;62;Picea abies;5;2004;188.0104849;198;26.7;NA;14.14
4740;3;61;Abies alba;5;2004;146.7010545;160;25;NA;14.14
4740;4;61;Abies alba;5;2004;128.7010545;142;24.7;NA;14.14
4740;5;61;Abies alba;5;2004;156.7062126;172;28.7;NA;14.14
4740;6;9;Fagus sylvatica;5;2004;121.3682384;133;25.2;NA;14.14
4740;7;61;Abies alba;5;2004;94.03610718;108;23;NA;39.28
4740;8;9;Fagus sylvatica;5;2004;71.7220294;84;18.5;NA;39.29
4740;9;23AB;Sorbus aria;5;2004;77.95208059;82;20.5;NA;39.29
4740;10;23AB;Sorbus aria;5;2004;72.95208059;77;21;NA;39.29
4740;11;23AB;Sorbus aria;5;2004;86.9760403;89;22.5;NA;39.29
4740;12;23AB;Sorbus aria;5;2004;70.9760403;73;20.5;NA;39.29
4740;13;23AB;Sorbus aria;5;2004;86.30138706;89;19;NA;39.29
4740;14;9;Fagus sylvatica;5;2004;87.59928327;96;19.5;NA;39.29
4740;15;61;Abies alba;5;2004;50.34536906;55;17.5;NA;88.4
4740;20;2;Quercus robur;5;2004;77.62745463;79;20.5;NA;39.29
5946;1;61;Abies alba;5;2004;215.7216871;237;25.5;NA;14.14
5946;2;61;Abies alba;5;2004;131.716529;151;22.5;NA;14.14
5946;3;61;Abies alba;5;2004;175.3608436;186;24.3;NA;14.14
5946;4;61;Abies alba;5;2004;162.6804218;168;23.2;NA;14.14
5946;5;61;Abies alba;5;2004;124.3505272;131;26;NA;14.14
5946;6;61;Abies alba;5;2004;192.3763181;209;25.3;NA;14.14
5946;7;62;Picea abies;5;2004;76.67225861;82;18.5;NA;39.29
5946;8;9;Fagus sylvatica;5;2004;26.30686532;36;12;NA;88.41
5946;9;9;Fagus sylvatica;5;2004;60.30686532;70;15.5;NA;88.39
5946;10;9;Fagus sylvatica;5;2004;26.70758204;28;11;NA;88.41
5946;11;9;Fagus sylvatica;5;2004;41.53791021;48;12.5;NA;88.41
5946;12;9;Fagus sylvatica;5;2004;63.18411919;69;17;NA;88.39
5946;13;9;Fagus sylvatica;5;2004;28.06137306;30;11;NA;88.41
5946;14;9;Fagus sylvatica;5;2004;26.76895511;30;10;NA;88.41
9974;1;61;Abies alba;5;2004;90.01547451;96;16.5;NA;39.29
9974;2;3;Quercus petraea;5;2004;47.94118194;50;10;NA;88.4
9974;3;3;Quercus petraea;5;2004;51.31372731;52;10;NA;88.4
9974;4;3;Quercus petraea;5;2004;38.62745463;40;10;NA;88.41
9974;5;23AB;Sorbus aria;5;2004;21.62673383;25;8.5;NA;88.42
9974;6;21O;Acer opalus;5;2004;21.03414346;25;8.2;NA;265.25
9974;7;3;Quercus petraea;5;2004;45.62745463;47;9.5;NA;88.41
9974;8;3;Quercus petraea;5;2004;56.62745463;58;10;NA;88.4
9974;9;3;Quercus petraea;5;2004;38.31372731;39;6.5;NA;88.41
9974;10;3;Quercus petraea;5;2004;41.62745463;43;9;NA;88.41
9974;11;20G;Tilia platyphyllos;5;2004;31.32534677;32;8;NA;88.41
9974;12;20G;Tilia platyphyllos;5;2004;36.32534677;37;7.5;NA;88.41
9974;13;20G;Tilia platyphyllos;5;2004;56.9760403;59;10.8;NA;88.4
9974;14;3;Quercus petraea;5;2004;30.31372731;31;6.6;NA;88.41
11212;1;9;Fagus sylvatica;5;2004;88.76895511;92;18;NA;39.29
11212;2;9;Fagus sylvatica;5;2004;72.70758204;74;18;NA;39.29
11212;3;9;Fagus sylvatica;5;2004;82.12274613;86;17.5;NA;39.29
11212;4;9;Fagus sylvatica;5;2004;78.70758204;80;15.5;NA;39.29
11212;5;9;Fagus sylvatica;5;2004;74.70758204;76;21;NA;39.29
11212;6;23AB;Sorbus aria;5;2004;25;25;8;NA;88.42
11212;7;23AB;Sorbus aria;5;2004;34;34;10.5;NA;88.41
11212;8;23AB;Sorbus aria;5;2004;31.65069353;33;10;NA;88.41
11212;9;9;Fagus sylvatica;5;2004;42.35379102;43;13.5;NA;88.41
11212;10;9;Fagus sylvatica;5;2004;48.70758204;50;17.5;NA;88.4
11212;11;9;Fagus sylvatica;5;2004;58.35379102;59;15.4;NA;88.4
11212;12;9;Fagus sylvatica;5;2004;37.35379102;38;12.6;NA;88.41
11212;13;9;Fagus sylvatica;5;2004;60.70758204;62;15;NA;88.4
11212;14;9;Fagus sylvatica;5;2004;62.35379102;63;15;NA;88.39
11212;15;9;Fagus sylvatica;5;2004;46.41516408;49;13;NA;88.4
13756;1;3;Quercus petraea;5;2004;80.50981851;86;14.2;NA;39.29
13756;2;3;Quercus petraea;5;2004;80.56863657;84;16.2;NA;39.29
13756;3;3;Quercus petraea;5;2004;71.94118194;74;13.8;NA;39.29
13756;4;3;Quercus petraea;5;2004;40.31372731;41;10.5;NA;176.82
13756;5;3;Quercus petraea;5;2004;47.31372731;48;11;NA;176.81
13756;6;3;Quercus petraea;5;2004;63.62745463;65;13.5;NA;176.79
13756;7;3;Quercus petraea;5;2004;64.94118194;67;13.5;NA;176.78
13756;8;3;Quercus petraea;5;2004;59.62745463;61;13.8;NA;176.79
13756;9;3;Quercus petraea;5;2004;59.31372731;60;9;NA;176.79
13756;10;21O;Acer opalus;5;2004;39.35609564;42;10.6;NA;88.41
13756;11;11;Carpinus betulus;5;2004;39.76586453;43;9.4;NA;88.41
15569;1;10;Castanea sativa;5;2004;267.2357403;274;26.8;NA;14.14
15569;2;10;Castanea sativa;5;2004;362.2942961;365;23.2;NA;14.13
15569;3;33N;Populus nigra;5;2004;301.9520806;306;40;NA;14.13
15569;4;33N;Populus nigra;5;2004;284.6027741;290;40;NA;14.13
15569;5;11;Carpinus betulus;5;2004;71.06345811;84;24;NA;39.29
15569;6;10;Castanea sativa;5;2004;68.23574035;75;20.4;NA;39.29
15569;7;11;Carpinus betulus;5;2004;90.06345811;103;22;NA;39.28
15569;8;17C;Fraxinus excelsior;5;2004;87.32739279;90;27;NA;39.29
15569;9;17C;Fraxinus excelsior;5;2004;78.65478558;84;28;NA;39.29
15569;10;10;Castanea sativa;5;2004;28.94144421;33;11;NA;88.41
15569;11;31;Corylus avellana;5;2004;32.36986524;39;16;NA;176.82
15569;12;11;Carpinus betulus;5;2004;62.11903743;66;16;NA;88.39
15569;13;10;Castanea sativa;5;2004;47.29429614;50;16.8;NA;88.4
15569;14;11;Carpinus betulus;5;2004;54.76586453;58;15;NA;88.4
15569;15;21C;Acer campestre;5;2004;29.71219128;35;11.2;NA;88.41
15569;16;11;Carpinus betulus;5;2004;61.17855615;67;20;NA;88.39
17029;1;9;Fagus sylvatica;5;2004;155.8447755;172;21.5;NA;14.14
17029;2;62;Picea abies;5;2004;238.0167758;254;30.2;NA;14.14
17029;3;12V;Betula pendula;5;2004;131.8939909;136;17;NA;14.14
17029;4;24;Populus tremula;5;2004;121.57563;125;18.6;NA;14.14
17029;5;22M;Prunus avium;5;2004;72.34501322;77;17;NA;39.29
17029;6;62;Picea abies;5;2004;99.0188728;117;20.6;NA;39.28
17029;7;22M;Prunus avium;5;2004;99.67500944;103;19.6;NA;39.28
17029;8;22M;Prunus avium;5;2004;79.34000756;82;19.2;NA;39.29
17029;9;3;Quercus petraea;5;2004;74.62745463;76;13;NA;39.29
17029;10;3;Quercus petraea;5;2004;77.50981851;83;15.5;NA;39.29
17029;11;3;Quercus petraea;5;2004;81.25490926;84;15.5;NA;39.29
17029;12;62;Picea abies;5;2004;88.3361293;91;14.2;NA;39.29
17029;13;11;Carpinus betulus;5;2004;40.82538324;46;12;NA;88.41
17029;14;11;Carpinus betulus;5;2004;45.17855615;51;13;NA;88.4
17423;1;62;Picea abies;5;2004;126.6764526;136;27;NA;14.14
17423;2;61;Abies alba;5;2004;115.0257908;125;26.2;NA;14.14
17423;3;61;Abies alba;5;2004;152.0154745;158;26.4;NA;14.14
17423;4;62;Picea abies;5;2004;120.3445172;131;25.5;NA;14.14
17423;5;62;Picea abies;5;2004;88.34242024;97;18.2;NA;39.29
17423;6;61;Abies alba;5;2004;68.68042178;74;15.2;NA;39.29
17423;7;61;Abies alba;5;2004;101.7113708;119;26.4;NA;39.28
17423;8;9;Fagus sylvatica;5;2004;91.30686532;101;18;NA;39.28
17423;9;61;Abies alba;5;2004;98.68557995;106;22;NA;39.28
17423;10;15S;Acer pseudoplatanus;5;2004;66.40731083;75;17.2;NA;39.29
17423;11;15S;Acer pseudoplatanus;5;2004;97.72926301;105;19.4;NA;39.28
